epoch_index,train_loss,val_loss,best_val_loss,mean_gradient_norm,improved
0,-0.021675537507503461,-0.41321700811386108,-0.41321700811386108,2.3027614296879619,true
1,-0.068806256489971504,-0.45890721678733826,-0.45890721678733826,2.080309310163825,true
2,-0.10673048230222403,-0.48242148756980896,-0.48242148756980896,2.5680570487792673,true
3,-0.13387054245536908,-0.49030956625938416,-0.49030956625938416,2.0530612163591937,true
4,-0.14974964328874379,-0.49073618650436401,-0.49073618650436401,2.0925816864697619,true
5,-0.21268729211237186,-0.48619499802589417,-0.49073618650436401,1.722988441777535,false
6,-0.18078982775123456,-0.4730084240436554,-0.49073618650436401,1.9870674321666741,false
7,-0.19449581368229327,-0.46958145499229431,-0.49073618650436401,1.5217650214475817,false
8,-0.22826472086121496,-0.46214568614959717,-0.49073618650436401,1.6573062906376061,false
9,-0.24032501792176986,-0.45312309265136719,-0.49073618650436401,1.434263427725408,false
10,-0.2572609952245003,-0.44521757960319519,-0.49073618650436401,1.5421134723105634,false
11,-0.24818209138436195,-0.43658703565597534,-0.49073618650436401,1.4097378468693187,false
12,-0.24877171346750587,-0.42872339487075806,-0.49073618650436401,1.3387541321959968,false
13,-0.23516435214342216,-0.42800292372703552,-0.49073618650436401,1.4868234236491844,false
14,-0.24328223329323989,-0.4197242259979248,-0.49073618650436401,1.244548816490584,false
15,-0.25173762840672564,-0.41222202777862549,-0.49073618650436401,1.4882311554288326,false
16,-0.25117818358688593,-0.40809246897697449,-0.49073618650436401,1.3393218240488727,false
17,-0.26463754341388362,-0.39721184968948364,-0.49073618650436401,1.7892619294639773,false
18,-0.27344079755652601,-0.39693504571914673,-0.49073618650436401,1.2810177796457607,false
19,-0.26210451522507727,-0.39296263456344604,-0.49073618650436401,1.1729636184053305,false
20,-0.27757340452323359,-0.39452433586120605,-0.49073618650436401,1.2841927390590382,false
21,-0.28323737500856322,-0.38804334402084351,-0.49073618650436401,1.1695210009049146,false
22,-0.28876164402717197,-0.38650280237197876,-0.49073618650436401,1.3324685253244706,false
23,-0.27985498213615173,-0.38135150074958801,-0.49073618650436401,1.295283993998638,false
24,-0.29288388941532528,-0.38218268752098083,-0.49073618650436401,1.3153757388906506,false
25,-0.26615100029187327,-0.3877139687538147,-0.49073618650436401,1.2958473798233825,false
26,-0.27762036092388326,-0.39013856649398804,-0.49073618650436401,1.2455565617061579,false
27,-0.27289180815793002,-0.39196878671646118,-0.49073618650436401,1.248710392616116,false
28,-0.26539290648622388,-0.38427072763442993,-0.49073618650436401,1.3147423068951003,false
29,-0.27423405090872294,-0.38028690218925476,-0.49073618650436401,1.2950864734056478,false
