asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
COCOA.c,126,train,2025-12-11T00:00:00,2025-12-11T00:00:00,728,728,1,MISSING_NEXT_RETURN,0
COCOA.c,126,train,2025-10-20T00:00:00,2025-12-10T00:00:00,691,727,37,TERMINAL_FRAGMENT_LT_63,0
COCOA.c,126,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,775,775,1,MISSING_NEXT_RETURN,0
COCOA.c,126,validation,2025-12-12T00:00:00,2026-02-19T00:00:00,729,774,46,TERMINAL_FRAGMENT_LT_63,0
COCOA.c,126,validation,2025-12-12T00:00:00,2026-02-20T00:00:00,729,775,47,NO_FULL_VALIDATION_SEQUENCE,6
COFFEE.c,126,train,2025-12-11T00:00:00,2025-12-11T00:00:00,728,728,1,MISSING_NEXT_RETURN,0
COFFEE.c,126,train,2025-10-20T00:00:00,2025-12-10T00:00:00,691,727,37,TERMINAL_FRAGMENT_LT_63,0
COFFEE.c,126,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,775,775,1,MISSING_NEXT_RETURN,0
COFFEE.c,126,validation,2025-12-12T00:00:00,2026-02-19T00:00:00,729,774,46,TERMINAL_FRAGMENT_LT_63,0
COFFEE.c,126,validation,2025-12-12T00:00:00,2026-02-20T00:00:00,729,775,47,NO_FULL_VALIDATION_SEQUENCE,6
CORN.c,126,train,2025-12-19T00:00:00,2025-12-19T00:00:00,685,685,1,MISSING_NEXT_RETURN,0
CORN.c,126,train,2025-09-30T00:00:00,2025-12-18T00:00:00,628,684,57,TERMINAL_FRAGMENT_LT_63,0
CORN.c,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,727,727,1,MISSING_NEXT_RETURN,0
CORN.c,126,validation,2025-12-22T00:00:00,2026-02-20T00:00:00,686,726,41,TERMINAL_FRAGMENT_LT_63,0
CORN.c,126,validation,2025-12-22T00:00:00,2026-02-23T00:00:00,686,727,42,NO_FULL_VALIDATION_SEQUENCE,5
SOYBEAN.c,126,train,2026-01-05T00:00:00,2026-01-05T00:00:00,607,607,1,MISSING_NEXT_RETURN,0
SOYBEAN.c,126,train,2025-11-03T00:00:00,2026-01-02T00:00:00,565,606,42,TERMINAL_FRAGMENT_LT_63,0
SOYBEAN.c,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,640,640,1,MISSING_NEXT_RETURN,0
SOYBEAN.c,126,validation,2026-01-06T00:00:00,2026-02-20T00:00:00,608,639,32,TERMINAL_FRAGMENT_LT_63,0
SOYBEAN.c,126,validation,2026-01-06T00:00:00,2026-02-23T00:00:00,608,640,33,NO_FULL_VALIDATION_SEQUENCE,4
WHEAT.c,126,train,2025-12-19T00:00:00,2025-12-19T00:00:00,688,688,1,MISSING_NEXT_RETURN,0
WHEAT.c,126,train,2025-09-25T00:00:00,2025-12-18T00:00:00,628,687,60,TERMINAL_FRAGMENT_LT_63,0
WHEAT.c,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,730,730,1,MISSING_NEXT_RETURN,0
WHEAT.c,126,validation,2025-12-22T00:00:00,2026-02-20T00:00:00,689,729,41,TERMINAL_FRAGMENT_LT_63,0
WHEAT.c,126,validation,2025-12-22T00:00:00,2026-02-23T00:00:00,689,730,42,NO_FULL_VALIDATION_SEQUENCE,5
GER40.cash,126,train,2025-07-02T00:00:00,2025-07-02T00:00:00,1777,1777,1,MISSING_NEXT_RETURN,0
GER40.cash,126,train,2025-06-11T00:00:00,2025-07-01T00:00:00,1762,1776,15,TERMINAL_FRAGMENT_LT_63,0
GER40.cash,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1940,1940,1,MISSING_NEXT_RETURN,0
GER40.cash,126,validation,2026-01-02T00:00:00,2026-02-20T00:00:00,1904,1939,36,TERMINAL_FRAGMENT_LT_63,0
UK100.cash,126,train,2025-06-09T00:00:00,2025-06-09T00:00:00,1933,1933,1,MISSING_NEXT_RETURN,0
UK100.cash,126,train,2025-04-01T00:00:00,2025-06-06T00:00:00,1888,1932,45,TERMINAL_FRAGMENT_LT_63,0
UK100.cash,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2114,2114,1,MISSING_NEXT_RETURN,0
UK100.cash,126,validation,2025-12-04T00:00:00,2026-02-20T00:00:00,2060,2113,54,TERMINAL_FRAGMENT_LT_63,0
US100.cash,126,train,2025-06-12T00:00:00,2025-06-12T00:00:00,1925,1925,1,MISSING_NEXT_RETURN,0
US100.cash,126,train,2025-04-22T00:00:00,2025-06-11T00:00:00,1888,1924,37,TERMINAL_FRAGMENT_LT_63,0
US100.cash,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2105,2105,1,MISSING_NEXT_RETURN,0
US100.cash,126,validation,2025-12-08T00:00:00,2026-02-20T00:00:00,2052,2104,53,TERMINAL_FRAGMENT_LT_63,0
US30.cash,126,train,2025-07-25T00:00:00,2025-07-25T00:00:00,1649,1649,1,MISSING_NEXT_RETURN,0
US30.cash,126,train,2025-07-08T00:00:00,2025-07-24T00:00:00,1636,1648,13,TERMINAL_FRAGMENT_LT_63,0
US30.cash,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1798,1798,1,MISSING_NEXT_RETURN,0
US30.cash,126,validation,2026-01-22T00:00:00,2026-02-20T00:00:00,1776,1797,22,TERMINAL_FRAGMENT_LT_63,0
US500.cash,126,train,2025-06-12T00:00:00,2025-06-12T00:00:00,1925,1925,1,MISSING_NEXT_RETURN,0
US500.cash,126,train,2025-04-22T00:00:00,2025-06-11T00:00:00,1888,1924,37,TERMINAL_FRAGMENT_LT_63,0
US500.cash,126,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2105,2105,1,MISSING_NEXT_RETURN,0
US500.cash,126,validation,2025-12-08T00:00:00,2026-02-20T00:00:00,2052,2104,53,TERMINAL_FRAGMENT_LT_63,0
AUS200.cash,126,train,2025-07-28T00:00:00,2025-07-28T00:00:00,1632,1632,1,MISSING_NEXT_RETURN,0
