timestamp,asset_id,lbw,timeline_index,sigma_t,next_arithmetic_return,normalized_return_1,normalized_return_21,normalized_return_63,normalized_return_126,normalized_return_256,macd_8_24,macd_16_28,macd_32_96,nu,gamma
2025-04-13T00:00:00,ICPUSD,21,313,0.044612842207330361,-0.014374126572170106,-1.0289584710032049,-0.66051646581805701,-0.76918400286769428,-1.2973730822619245,-0.62878983459892512,-1.6109907207731105,-2.2166739929643713,-2.785799547537477,0.86046565840030753,0.62111660593689877
2025-04-14T00:00:00,ICPUSD,21,314,0.043910428850350604,-0.032610897306056402,-0.32735108602919749,-0.91290366457956407,-0.84415014269328803,-1.2086296686468099,-0.63414619046192178,-1.5714516767425977,-2.1754736795840759,-2.7800292484585252,0.79826610197472758,0.57225584387393857
2025-04-15T00:00:00,ICPUSD,21,315,0.043469789929801946,-0.025335008375209286,-0.75019680009309297,-1.1335460224725302,-0.92646266855525272,-1.2095235918557892,-0.63313542416650304,-1.559128335340747,-2.1461315721228882,-2.7728806298376543,0.85036323157255278,0.52677195804616761
2025-04-16T00:00:00,ICPUSD,21,316,0.042894403520401254,0.013319011815252284,-0.59063668674538328,-1.2177998666736636,-1.0557160026312793,-1.3219392273890926,-0.57780224748510145,-1.5751347623940011,-2.141861941035518,-2.7875258579234066,0.83738848681299938,0.47963691437592104
2025-04-17T00:00:00,ICPUSD,21,317,0.042334851193745332,0.010599957600169751,0.31461104597481088,-1.1257201785273343,-0.99772883299333748,-1.3758160998769027,-0.55335283687232961,-1.5669099041178733,-2.1242676008088566,-2.7947039630886388,0.7326703122009478,0.44250762607657973
2025-04-18T00:00:00,ICPUSD,21,318,0.041739416760764675,0.032095657646318346,0.25395557539591401,-0.75451324283635701,-1.0257949635708017,-1.3860174947869428,-0.4856156151024158,-1.5564013756998611,-2.1173072570217379,-2.8233906242968279,0.68624797236873836,0.38166936245547284
2025-04-19T00:00:00,ICPUSD,21,319,0.041594790820583032,-0.011382113821138221,0.77162685550604704,-0.34749506113000084,-0.91692424621784308,-1.3023374113548924,-0.53164996750973692,-1.5117189795544781,-2.0928052398741102,-2.8470294044531963,0.80905180907791485,0.33389794456213751
2025-04-20T00:00:00,ICPUSD,21,320,0.040928343945658155,-0.0063733552631578321,-0.27809856749275208,-0.45333540960583407,-0.92112804448949748,-1.3556863719633938,-0.47973599421621899,-1.475866647263385,-2.0674436951626718,-2.8622828668371949,0.84374447400708019,0.69725867987935752
2025-04-21T00:00:00,ICPUSD,21,321,0.040253514934748227,0.015518311607697118,-0.1583304035309511,-0.47486980045748706,-0.98363449709616424,-1.3774479008002598,-0.5298976748614721,-1.4550682929741494,-2.056631624368817,-2.8939475883004984,0.91520166153128368,0.6365915852929499
2025-04-22T00:00:00,ICPUSD,21,322,0.039748899944307373,0.047881010594946906,0.39040858060072103,-0.53323630835597791,-0.81827066325964437,-1.3480237440355711,-0.52639675781680917,-1.4014043951105917,-2.0138858002594735,-2.890018246089471,0.94565478817309845,0.58559007974486077
