asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
PFE,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1713,1713,1,MISSING_NEXT_RETURN,0
PFE,10,validation,2026-01-30T00:00:00,2026-02-19T00:00:00,1699,1712,14,TERMINAL_FRAGMENT_LT_63,0
AIRF,10,train,2025-06-25T00:00:00,2025-07-29T00:00:00,1573,1597,25,TERMINAL_FRAGMENT_LT_63,0
AIRF,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1740,1740,1,MISSING_NEXT_RETURN,0
AIRF,10,validation,2026-01-29T00:00:00,2026-02-19T00:00:00,1724,1739,16,TERMINAL_FRAGMENT_LT_63,0
ALVG,10,train,2025-07-09T00:00:00,2025-07-30T00:00:00,1573,1588,16,TERMINAL_FRAGMENT_LT_63,0
ALVG,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1730,1730,1,MISSING_NEXT_RETURN,0
ALVG,10,validation,2026-01-30T00:00:00,2026-02-19T00:00:00,1715,1729,15,TERMINAL_FRAGMENT_LT_63,0
BAYGn,10,train,2025-07-08T00:00:00,2025-07-30T00:00:00,1573,1589,17,TERMINAL_FRAGMENT_LT_63,0
BAYGn,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1731,1731,1,MISSING_NEXT_RETURN,0
BAYGn,10,validation,2026-01-30T00:00:00,2026-02-19T00:00:00,1716,1730,15,TERMINAL_FRAGMENT_LT_63,0
DBKGn,10,train,2025-07-09T00:00:00,2025-07-30T00:00:00,1573,1588,16,TERMINAL_FRAGMENT_LT_63,0
DBKGn,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1730,1730,1,MISSING_NEXT_RETURN,0
DBKGn,10,validation,2026-01-30T00:00:00,2026-02-19T00:00:00,1715,1729,15,TERMINAL_FRAGMENT_LT_63,0
IBE,10,train,2025-06-27T00:00:00,2025-07-29T00:00:00,1573,1595,23,TERMINAL_FRAGMENT_LT_63,0
IBE,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1738,1738,1,MISSING_NEXT_RETURN,0
IBE,10,validation,2026-01-29T00:00:00,2026-02-19T00:00:00,1722,1737,16,TERMINAL_FRAGMENT_LT_63,0
LVMH,10,train,2025-06-26T00:00:00,2025-07-29T00:00:00,1573,1596,24,TERMINAL_FRAGMENT_LT_63,0
LVMH,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1739,1739,1,MISSING_NEXT_RETURN,0
