timestamp,asset_id,lbw,timeline_index,sigma_t,next_arithmetic_return,normalized_return_1,normalized_return_21,normalized_return_63,normalized_return_126,normalized_return_256,macd_8_24,macd_16_28,macd_32_96,nu,gamma
2020-05-29T00:00:00,AUS200.cash,63,313,0.032328397823172934,0.020812564492715603,-0.63585090170434866,0.35449996936417039,-0.4266959198447024,-0.3885068734236628,-0.17920583856385319,0.23832519996816601,-0.56028043385946269,-1.2480049003722116,0.99999999997847389,0.3623429119196111
2020-06-01T00:00:00,AUS200.cash,63,314,0.031987813537770124,0.004351774118937164,0.65064042180128201,0.77249021690001884,-0.27971424742061279,-0.35264540561367502,-0.13171856491730252,0.3364256394731342,-0.48855914953117646,-1.2585687260992677,0.99999999999255662,0.32131625281982423
2020-06-02T00:00:00,AUS200.cash,63,315,0.031462193663714777,0.023114583511028471,0.13831756823606525,0.66878923645753396,-0.35803936321459673,-0.3666226506900005,-0.13112796969296722,0.44819751160803661,-0.42302432498419873,-1.3002398707223817,0.9999999999988094,0.25776774498589816
2020-06-03T00:00:00,AUS200.cash,63,316,0.031174515988679489,-0.0020174736561291789,0.74145765468891778,0.75956564285445527,-0.17459104480888241,-0.30176264823056054,-0.092021204902188639,0.60331771411219159,-0.30914908874489383,-1.2929790254885285,0.9999999999994551,0.20069668967690116
2020-06-04T00:00:00,AUS200.cash,63,317,0.030670660439069977,0.018845543396541674,-0.065778617977171883,0.84082822587378869,-0.088766659436443796,-0.31589892154442512,-0.11711988002047127,0.7228774668719421,-0.19897877944500889,-1.2642224254074697,0.99999999999992517,0.051309978961719953
2020-06-05T00:00:00,AUS200.cash,63,318,0.030306194658945577,0.0075430857780037055,0.62183799743327606,0.96499479568609148,0.50203627051519317,-0.27282670322585006,-0.051046910945788553,0.8303988752532071,-0.061896055089835783,-1.1607161957590946,0.99999999999998468,3.6823653942124157e-06
2020-06-08T00:00:00,AUS200.cash,63,319,0.029816228494009861,-0.0072424849047084284,0.25298591267232495,0.99091898271164314,0.10696638238844262,-0.25950221019557607,-0.037114213244154995,0.94794972768839147,0.065460273907665997,-1.0922796395828984,0.99999999999998712,2.2523266457919408e-07
2020-06-09T00:00:00,AUS200.cash,63,320,0.029383059317368749,-0.0056559231450211481,-0.2464850520322549,0.87009985192843264,0.45105927027770282,-0.30405509127236297,-0.069060492519712927,0.996415447014531,0.16263625845598995,-1.0109200182663425,0.99999999999996936,1.5873015873015872e-08
2020-06-10T00:00:00,AUS200.cash,63,321,0.028937605427055219,-0.046065322407795248,-0.19545235556129198,1.0498251402600782,1.0740610948897427,-0.36443526996620823,-0.10685707055693461,1.035101022877575,0.24173586651988135,-0.96278690116521792,0.99999999999998601,9.8965483260286435e-07
2020-06-11T00:00:00,AUS200.cash,63,322,0.029768874110050039,0.011061373338633575,-1.5474324704891511,0.56317414498087748,0.16033920600910173,-0.45844637758539525,-0.18999131842859254,0.94077117744205141,0.24509205908447809,-0.9350266173662678,0.99999999999450373,1.9311335086697527e-07
2020-06-12T00:00:00,AUS200.cash,63,323,0.029332857476861002,0.0059317253286382213,0.37709839034124887,0.67904380943513076,0.85376071057284086,-0.44493157025801017,-0.19530458516809276,0.89931480651720519,0.26699124347058067,-0.91958597440498813,0.99999999954120544,0.035062691745823119
2020-06-15T00:00:00,AUS200.cash,63,324,0.028859981457418155,0.011572579274716964,0.20553462022802108,0.61931980691696153,0.54170520403022027,-0.4245524070875491,-0.20491137230158504,0.85942180016703817,0.28972779601942439,-0.88557812809560266,0.9999999445912946,0.23637398256908504
2020-06-16T00:00:00,AUS200.cash,63,325,0.028441075739816683,0.0054765064592538449,0.40689667931637769,0.4940304259852149,1.0005560300075469,-0.39158837272775959,-0.18410240674349176,0.86620688556895586,0.33130859957738523,-0.86525930046781496,0.99999995087965621,0.18162662928908319
2020-06-17T00:00:00,AUS200.cash,63,326,0.027978810408829765,5.0122800862142566e-05,0.19573764499742946,0.702721452649957,1.0273872011884539,-0.37640359505902499,-0.16371610473816675,0.88216762517275915,0.37678246311117775,-0.84309100788378655,0.99999985431381566,0.19356753949595965
2020-06-18T00:00:00,AUS200.cash,63,327,0.027518330942531678,-0.012112403100775193,0.0018214331736516249,0.53982989236775947,1.2841279217353185,-0.38142304602658261,-0.16499028662506079,0.91412213590354485,0.42841303063087893,-0.84182028219785976,0.99999983924506408,0.35510321669674899
2020-06-19T00:00:00,AUS200.cash,63,328,0.027179229326461218,0.013546194043733313,-0.44564924764010116,0.53978733931547784,1.3669345962710835,-0.4212058700977977,-0.19472098873438623,0.93247610909740419,0.47218934093200726,-0.86860003893551507,0.99999983100295597,0.33941473403092476
2020-06-22T00:00:00,AUS200.cash,63,329,0.026819025397040681,-0.00040045384769399258,0.50509643222263034,0.60941935286101567,0.92415925409320188,-0.38764785153220327,-0.16067222747772567,0.9402292209280928,0.51143952198866738,-0.84489095087237465,0.99999990134878924,0.32345706666748747
