asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
UKOIL.cash,UKOIL.cash,Cash II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash II CFD/UKOIL.cash/D/UKOIL.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2539,2539,0,0,true,2016-04-22,2026-02-23
US2000.cash,US2000.cash,Cash II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash II CFD/US2000.cash/D/US2000.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2087,2087,0,0,true,2018-01-23,2026-02-23
USOIL.cash,USOIL.cash,Cash II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash II CFD/USOIL.cash/D/USOIL.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1329,1329,0,0,true,2020-12-31,2026-02-23
DXY.cash,DXY.cash,Cash III CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash III CFD/DXY.cash/D/DXY.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,320,320,0,0,true,2024-11-26,2026-02-23
HEATOIL.c,HEATOIL.c,Commodities,category_symbol_d,RESOLVED,,data/FTMO Data/Commodities/HEATOIL.c/D/HEATOIL.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,309,309,0,0,true,2024-12-11,2026-02-23
NATGAS.cash,NATGAS.cash,Commodities,category_symbol_d,RESOLVED,,data/FTMO Data/Commodities/NATGAS.cash/D/NATGAS.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,344,344,0,0,true,2024-10-23,2026-02-23
ADAUSD,ADAUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/ADAUSD/D/ADAUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1623,1623,0,0,true,2021-09-08,2026-02-23
AVAUSD,AVAUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/AVAUSD/D/AVAUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1975,1975,0,0,true,2020-09-22,2026-02-23
BCHUSD,BCHUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/BCHUSD/D/BCHUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3072,3072,0,0,true,2017-09-21,2026-02-23
BTCUSD,BTCUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/BTCUSD/D/BTCUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,5341,5341,0,0,true,2011-03-24,2026-02-23
