asset_id,lbw,timestamp,status,fallback_source_timestamp,nu,gamma,nlml_baseline,retry_used,fallback_used,failure_stage,failure_message,cpd_csv_path
SOYBEAN.c,10,2025-07-30T00:00:00,fallback_previous,2025-07-29T00:00:00,0.87728620835650672,0.44995417079948352,14.441504116197127,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/SOYBEAN.c_cpd.csv
GER40.cash,10,2020-06-11T00:00:00,fallback_previous,2020-06-10T00:00:00,0.80766161977310236,0.40145548125989705,15.033010220122744,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/GER40.cash_cpd.csv
GER40.cash,10,2024-12-18T00:00:00,fallback_previous,2024-12-17T00:00:00,0.69413365580594766,0.80254193919004813,13.616642536086585,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/GER40.cash_cpd.csv
GER40.cash,21,2024-12-18T00:00:00,fallback_previous,2024-12-17T00:00:00,0.66223709572197786,0.802239118283123,26.082038085097508,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_21/GER40.cash_cpd.csv
UK100.cash,10,2021-04-20T00:00:00,fallback_previous,2021-04-19T00:00:00,0.62226032060557368,0.65852841606129431,12.707405800079526,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/UK100.cash_cpd.csv
UK100.cash,10,2023-02-27T00:00:00,fallback_previous,2023-02-24T00:00:00,0.78137195672184678,0.30023217890106879,14.754338064731497,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/UK100.cash_cpd.csv
AUS200.cash,10,2019-07-23T00:00:00,fallback_previous,2019-07-22T00:00:00,0.04427675409296055,0.089506227878083225,13.703670925626245,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL: ,artifacts/features/cpd/lbw_10/AUS200.cash_cpd.csv
EU50.cash,10,2019-04-15T00:00:00,fallback_previous,2019-04-12T00:00:00,0.68537060403985584,0.43104947775151847,15.07089656343434,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/EU50.cash_cpd.csv
EU50.cash,21,2023-01-16T00:00:00,fallback_previous,2023-01-13T00:00:00,0.91022448334749073,0.54753313103050827,31.018466004075343,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_21/EU50.cash_cpd.csv
HK50.cash,10,2020-10-07T00:00:00,fallback_previous,2020-10-06T00:00:00,0.62742633778578694,0.1977186307876615,15.237671972382488,true,true,changepoint_fit,First changepoint fit failed: ABNORMAL: ; second changepoint fit failed: ABNORMAL:,artifacts/features/cpd/lbw_10/HK50.cash_cpd.csv
