asset_id,lbw,state,missing_reason,cpd_csv_path,row_count,canonical_row_count,first_timestamp,last_timestamp,success_count,retry_success_count,fallback_previous_count,baseline_failure_count,changepoint_failure_count,invalid_window_count,output_row_count,retry_used_count,fallback_used_count
COCOA.c,10,present,,artifacts/features/cpd/lbw_10/COCOA.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,764,1,0,0,0,11,765,1,0
COCOA.c,21,present,,artifacts/features/cpd/lbw_21/COCOA.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,751,3,0,0,0,22,754,3,0
COCOA.c,63,present,,artifacts/features/cpd/lbw_63/COCOA.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,712,0,0,0,0,64,712,0,0
COCOA.c,126,present,,artifacts/features/cpd/lbw_126/COCOA.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,648,1,0,0,0,127,649,1,0
COCOA.c,252,present,,artifacts/features/cpd/lbw_252/COCOA.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,523,0,0,0,0,253,523,0,0
COFFEE.c,10,present,,artifacts/features/cpd/lbw_10/COFFEE.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,762,3,0,0,0,11,765,3,0
COFFEE.c,21,present,,artifacts/features/cpd/lbw_21/COFFEE.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,754,0,0,0,0,22,754,0,0
COFFEE.c,63,present,,artifacts/features/cpd/lbw_63/COFFEE.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,712,0,0,0,0,64,712,0,0
COFFEE.c,126,present,,artifacts/features/cpd/lbw_126/COFFEE.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,648,1,0,0,0,127,649,1,0
COFFEE.c,252,present,,artifacts/features/cpd/lbw_252/COFFEE.c_cpd.csv,776,776,2023-01-19T00:00:00,2026-02-20T00:00:00,523,0,0,0,0,253,523,0,0
CORN.c,10,present,,artifacts/features/cpd/lbw_10/CORN.c_cpd.csv,728,728,2023-03-30T00:00:00,2026-02-23T00:00:00,717,0,0,0,0,11,717,0,0
CORN.c,21,present,,artifacts/features/cpd/lbw_21/CORN.c_cpd.csv,728,728,2023-03-30T00:00:00,2026-02-23T00:00:00,703,3,0,0,0,22,706,3,0
CORN.c,63,present,,artifacts/features/cpd/lbw_63/CORN.c_cpd.csv,728,728,2023-03-30T00:00:00,2026-02-23T00:00:00,664,0,0,0,0,64,664,0,0
CORN.c,126,present,,artifacts/features/cpd/lbw_126/CORN.c_cpd.csv,728,728,2023-03-30T00:00:00,2026-02-23T00:00:00,601,0,0,0,0,127,601,0,0
CORN.c,252,present,,artifacts/features/cpd/lbw_252/CORN.c_cpd.csv,728,728,2023-03-30T00:00:00,2026-02-23T00:00:00,474,1,0,0,0,253,475,1,0
SOYBEAN.c,10,present,,artifacts/features/cpd/lbw_10/SOYBEAN.c_cpd.csv,641,641,2023-08-04T00:00:00,2026-02-23T00:00:00,628,1,1,0,0,11,630,2,1
