asset_id,symbol,category,path_pattern,d_file_path,resolution_status,resolution_failure_reason,schema_status,schema_reason_code,raw_row_count,screened_row_count,first_timestamp,last_timestamp,raw_eligibility_status,reason_code
GRTUSD,GRTUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/GRTUSD/D/GRTUSD_data.csv,RESOLVED,,ADMISSIBLE,,1872,1872,2021-01-02,2026-02-23,ELIGIBLE,
ICPUSD,ICPUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/ICPUSD/D/ICPUSD_data.csv,RESOLVED,,ADMISSIBLE,,624,624,2024-06-04,2026-02-23,ELIGIBLE,
IMXUSD,IMXUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/IMXUSD/D/IMXUSD_data.csv,RESOLVED,,ADMISSIBLE,,1500,1500,2022-01-10,2026-02-23,ELIGIBLE,
LNKUSD,LNKUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/LNKUSD/D/LNKUSD_data.csv,RESOLVED,,ADMISSIBLE,,3072,3072,2017-09-21,2026-02-23,ELIGIBLE,
MANUSD,MANUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/MANUSD/D/MANUSD_data.csv,RESOLVED,,ADMISSIBLE,,1873,1873,2021-01-02,2026-02-23,ELIGIBLE,
NEOUSD,NEOUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/NEOUSD/D/NEOUSD_data.csv,RESOLVED,,ADMISSIBLE,,2845,2845,2018-05-04,2026-02-23,ELIGIBLE,
NERUSD,NERUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/NERUSD/D/NERUSD_data.csv,RESOLVED,,ADMISSIBLE,,1954,1954,2020-10-12,2026-02-23,ELIGIBLE,
SANUSD,SANUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/SANUSD/D/SANUSD_data.csv,RESOLVED,,ADMISSIBLE,,2016,2016,2020-08-01,2026-02-23,ELIGIBLE,
UNIUSD,UNIUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/UNIUSD/D/UNIUSD_data.csv,RESOLVED,,ADMISSIBLE,,1784,1784,2021-04-01,2026-02-23,ELIGIBLE,
VECUSD,VECUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/VECUSD/D/VECUSD_data.csv,RESOLVED,,ADMISSIBLE,,2189,2189,2020-02-21,2026-02-23,ELIGIBLE,
XLMUSD,XLMUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XLMUSD/D/XLMUSD_data.csv,RESOLVED,,ADMISSIBLE,,3418,3418,2016-10-02,2026-02-23,ELIGIBLE,
XMRUSD,XMRUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XMRUSD/D/XMRUSD_data.csv,RESOLVED,,ADMISSIBLE,,3121,3121,2017-05-15,2026-02-23,ELIGIBLE,
XTZUSD,XTZUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XTZUSD/D/XTZUSD_data.csv,RESOLVED,,ADMISSIBLE,,2479,2479,2019-04-15,2026-02-23,ELIGIBLE,
AAPL,AAPL,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/AAPL/D/AAPL_data.csv,RESOLVED,,ADMISSIBLE,,5330,5330,2007-04-27,2026-02-20,ELIGIBLE,
AMZN,AMZN,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/AMZN/D/AMZN_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
BABA,BABA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/BABA/D/BABA_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
BAC,BAC,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/BAC/D/BAC_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
GOOG,GOOG,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/GOOG/D/GOOG_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
META,META,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/META/D/META_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
MSFT,MSFT,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/MSFT/D/MSFT_data.csv,RESOLVED,,ADMISSIBLE,,5323,5323,2007-04-25,2026-02-20,ELIGIBLE,
NFLX,NFLX,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/NFLX/D/NFLX_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
NVDA,NVDA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/NVDA/D/NVDA_data.csv,RESOLVED,,ADMISSIBLE,,1323,1323,2020-11-12,2026-02-20,ELIGIBLE,
PFE,PFE,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/PFE/D/PFE_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
RACE,RACE,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/RACE/D/RACE_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
T,T,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/T/D/T_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
TSLA,TSLA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/TSLA/D/TSLA_data.csv,RESOLVED,,ADMISSIBLE,,1715,1715,2019-03-04,2026-02-20,ELIGIBLE,
V,V,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/V/D/V_data.csv,RESOLVED,,ADMISSIBLE,,1714,1714,2019-03-04,2026-02-20,ELIGIBLE,
WMT,WMT,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/WMT/D/WMT_data.csv,RESOLVED,,ADMISSIBLE,,1324,1324,2020-11-12,2026-02-20,ELIGIBLE,
ZM,ZM,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/ZM/D/ZM_data.csv,RESOLVED,,ADMISSIBLE,,1324,1324,2020-11-12,2026-02-20,ELIGIBLE,
AIRF,AIRF,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/AIRF/D/AIRF_data.csv,RESOLVED,,ADMISSIBLE,,1741,1741,2019-03-04,2026-02-20,ELIGIBLE,
ALVG,ALVG,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/ALVG/D/ALVG_data.csv,RESOLVED,,ADMISSIBLE,,1731,1731,2019-03-04,2026-02-20,ELIGIBLE,
BAYGn,BAYGn,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/BAYGn/D/BAYGn_data.csv,RESOLVED,,ADMISSIBLE,,1732,1732,2019-03-04,2026-02-20,ELIGIBLE,
DBKGn,DBKGn,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/DBKGn/D/DBKGn_data.csv,RESOLVED,,ADMISSIBLE,,1731,1731,2019-03-04,2026-02-20,ELIGIBLE,
IBE,IBE,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/IBE/D/IBE_data.csv,RESOLVED,,ADMISSIBLE,,1739,1739,2019-03-04,2026-02-20,ELIGIBLE,
LVMH,LVMH,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/LVMH/D/LVMH_data.csv,RESOLVED,,ADMISSIBLE,,1740,1740,2019-03-04,2026-02-20,ELIGIBLE,
VOWG_p,VOWG_p,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/VOWG_p/D/VOWG_p_data.csv,RESOLVED,,ADMISSIBLE,,1731,1731,2019-03-04,2026-02-20,ELIGIBLE,
EURCZK,EURCZK,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURCZK/D/EURCZK_data.csv,RESOLVED,,ADMISSIBLE,,2844,2844,2015-01-02,2026-02-23,ELIGIBLE,
EURHUF,EURHUF,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURHUF/D/EURHUF_data.csv,RESOLVED,,ADMISSIBLE,,2890,2890,2015-01-01,2026-02-23,ELIGIBLE,
EURNOK,EURNOK,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURNOK/D/EURNOK_data.csv,RESOLVED,,ADMISSIBLE,,3389,3389,2013-04-01,2026-02-23,ELIGIBLE,
EURPLN,EURPLN,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURPLN/D/EURPLN_data.csv,RESOLVED,,ADMISSIBLE,,2888,2888,2015-01-01,2026-02-23,ELIGIBLE,
USDCNH,USDCNH,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDCNH/D/USDCNH_data.csv,RESOLVED,,ADMISSIBLE,,558,558,2024-01-02,2026-02-23,ELIGIBLE,
USDCZK,USDCZK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDCZK/D/USDCZK_data.csv,RESOLVED,,ADMISSIBLE,,2899,2899,2015-01-02,2026-02-23,ELIGIBLE,
USDHKD,USDHKD,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDHKD/D/USDHKD_data.csv,RESOLVED,,ADMISSIBLE,,4680,4680,2007-07-10,2026-02-23,ELIGIBLE,
USDHUF,USDHUF,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDHUF/D/USDHUF_data.csv,RESOLVED,,ADMISSIBLE,,2890,2890,2015-01-01,2026-02-23,ELIGIBLE,
USDILS,USDILS,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDILS/D/USDILS_data.csv,RESOLVED,,ADMISSIBLE,,1074,1074,2022-01-03,2026-02-23,ELIGIBLE,
USDMXN,USDMXN,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDMXN/D/USDMXN_data.csv,RESOLVED,,ADMISSIBLE,,4698,4698,2007-07-23,2026-02-23,ELIGIBLE,
USDNOK,USDNOK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDNOK/D/USDNOK_data.csv,RESOLVED,,ADMISSIBLE,,5188,5188,2006-02-06,2026-02-23,ELIGIBLE,
USDPLN,USDPLN,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDPLN/D/USDPLN_data.csv,RESOLVED,,ADMISSIBLE,,3401,3401,2013-03-19,2026-02-23,ELIGIBLE,
USDSEK,USDSEK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDSEK/D/USDSEK_data.csv,RESOLVED,,ADMISSIBLE,,6728,6728,2000-03-30,2026-02-23,ELIGIBLE,
USDSGD,USDSGD,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDSGD/D/USDSGD_data.csv,RESOLVED,,ADMISSIBLE,,556,556,2024-01-02,2026-02-23,ELIGIBLE,
USDZAR,USDZAR,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDZAR/D/USDZAR_data.csv,RESOLVED,,ADMISSIBLE,,5082,5082,2006-01-13,2026-02-23,ELIGIBLE,
AUDCAD,AUDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDCAD/D/AUDCAD_data.csv,RESOLVED,,ADMISSIBLE,,6708,6708,2000-03-30,2026-02-23,ELIGIBLE,
AUDCHF,AUDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDCHF/D/AUDCHF_data.csv,RESOLVED,,ADMISSIBLE,,6639,6639,2000-03-30,2026-02-23,ELIGIBLE,
AUDJPY,AUDJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDJPY/D/AUDJPY_data.csv,RESOLVED,,ADMISSIBLE,,6672,6672,2000-03-29,2026-02-23,ELIGIBLE,
AUDNZD,AUDNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDNZD/D/AUDNZD_data.csv,RESOLVED,,ADMISSIBLE,,6618,6618,2000-03-30,2026-02-23,ELIGIBLE,
AUDUSD,AUDUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDUSD/D/AUDUSD_data.csv,RESOLVED,,ADMISSIBLE,,6730,6730,2000-03-29,2026-02-23,ELIGIBLE,
CADCHF,CADCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CAD/CADCHF/D/CADCHF_data.csv,RESOLVED,,ADMISSIBLE,,6560,6560,2000-03-30,2026-02-23,ELIGIBLE,
CADJPY,CADJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CAD/CADJPY/D/CADJPY_data.csv,RESOLVED,,ADMISSIBLE,,4926,4926,2007-02-12,2026-02-23,ELIGIBLE,
CHFJPY,CHFJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CHF/CHFJPY/D/CHFJPY_data.csv,RESOLVED,,ADMISSIBLE,,6674,6674,2000-03-29,2026-02-23,ELIGIBLE,
EURAUD,EURAUD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURAUD/D/EURAUD_data.csv,RESOLVED,,ADMISSIBLE,,5622,5622,2004-06-17,2026-02-23,ELIGIBLE,
EURCAD,EURCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURCAD/D/EURCAD_data.csv,RESOLVED,,ADMISSIBLE,,6576,6576,2000-03-30,2026-02-23,ELIGIBLE,
EURCHF,EURCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURCHF/D/EURCHF_data.csv,RESOLVED,,ADMISSIBLE,,6720,6720,2000-03-29,2026-02-23,ELIGIBLE,
EURGBP,EURGBP,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURGBP/D/EURGBP_data.csv,RESOLVED,,ADMISSIBLE,,6726,6726,2000-03-29,2026-02-23,ELIGIBLE,
EURJPY,EURJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURJPY/D/EURJPY_data.csv,RESOLVED,,ADMISSIBLE,,6604,6604,2000-03-29,2026-02-23,ELIGIBLE,
EURNZD,EURNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURNZD/D/EURNZD_data.csv,RESOLVED,,ADMISSIBLE,,6557,6557,2000-03-30,2026-02-23,ELIGIBLE,
EURUSD,EURUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURUSD/D/EURUSD_data.csv,RESOLVED,,ADMISSIBLE,,6731,6731,2000-03-29,2026-02-23,ELIGIBLE,
GBPAUD,GBPAUD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPAUD/D/GBPAUD_data.csv,RESOLVED,,ADMISSIBLE,,4784,4784,2007-08-21,2026-02-23,ELIGIBLE,
GBPCAD,GBPCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPCAD/D/GBPCAD_data.csv,RESOLVED,,ADMISSIBLE,,4788,4788,2007-08-21,2026-02-23,ELIGIBLE,
GBPCHF,GBPCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPCHF/D/GBPCHF_data.csv,RESOLVED,,ADMISSIBLE,,6686,6686,2000-03-29,2026-02-23,ELIGIBLE,
GBPJPY,GBPJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPJPY/D/GBPJPY_data.csv,RESOLVED,,ADMISSIBLE,,6732,6732,2000-03-29,2026-02-23,ELIGIBLE,
GBPNZD,GBPNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPNZD/D/GBPNZD_data.csv,RESOLVED,,ADMISSIBLE,,3967,3967,2010-05-10,2026-02-23,ELIGIBLE,
GBPUSD,GBPUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPUSD/D/GBPUSD_data.csv,RESOLVED,,ADMISSIBLE,,6730,6730,2000-03-29,2026-02-23,ELIGIBLE,
NZDCAD,NZDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDCAD/D/NZDCAD_data.csv,RESOLVED,,ADMISSIBLE,,4776,4776,2007-08-20,2026-02-23,ELIGIBLE,
NZDCHF,NZDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDCHF/D/NZDCHF_data.csv,RESOLVED,,ADMISSIBLE,,4795,4795,2007-08-21,2026-02-23,ELIGIBLE,
NZDJPY,NZDJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDJPY/D/NZDJPY_data.csv,RESOLVED,,ADMISSIBLE,,4939,4939,2007-02-12,2026-02-23,ELIGIBLE,
NZDUSD,NZDUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDUSD/D/NZDUSD_data.csv,RESOLVED,,ADMISSIBLE,,6730,6730,2000-03-29,2026-02-23,ELIGIBLE,
USDCAD,USDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/USD/USDCAD/D/USDCAD_data.csv,RESOLVED,,ADMISSIBLE,,6732,6732,2000-03-29,2026-02-23,ELIGIBLE,
USDCHF,USDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/USD/USDCHF/D/USDCHF_data.csv,RESOLVED,,ADMISSIBLE,,6730,6730,2000-03-29,2026-02-23,ELIGIBLE,
