asset_id,symbol,category,path_pattern,d_file_path,raw_row_count,screened_row_count,first_timestamp,last_timestamp
BNBUSD,BNBUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/BNBUSD/D/BNBUSD_data.csv,3130,3130,2017-07-25,2026-02-23
DOGEUSD,DOGEUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/DOGEUSD/D/DOGEUSD_data.csv,1623,1623,2021-09-08,2026-02-23
FETUSD,FETUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/FETUSD/D/FETUSD_data.csv,624,624,2024-06-04,2026-02-23
GALUSD,GALUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/GALUSD/D/GALUSD_data.csv,1614,1614,2021-09-18,2026-02-23
GRTUSD,GRTUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/GRTUSD/D/GRTUSD_data.csv,1872,1872,2021-01-02,2026-02-23
ICPUSD,ICPUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/ICPUSD/D/ICPUSD_data.csv,624,624,2024-06-04,2026-02-23
IMXUSD,IMXUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/IMXUSD/D/IMXUSD_data.csv,1500,1500,2022-01-10,2026-02-23
LNKUSD,LNKUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/LNKUSD/D/LNKUSD_data.csv,3072,3072,2017-09-21,2026-02-23
MANUSD,MANUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/MANUSD/D/MANUSD_data.csv,1873,1873,2021-01-02,2026-02-23
NEOUSD,NEOUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/NEOUSD/D/NEOUSD_data.csv,2845,2845,2018-05-04,2026-02-23
NERUSD,NERUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/NERUSD/D/NERUSD_data.csv,1954,1954,2020-10-12,2026-02-23
SANUSD,SANUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/SANUSD/D/SANUSD_data.csv,2016,2016,2020-08-01,2026-02-23
UNIUSD,UNIUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/UNIUSD/D/UNIUSD_data.csv,1784,1784,2021-04-01,2026-02-23
VECUSD,VECUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/VECUSD/D/VECUSD_data.csv,2189,2189,2020-02-21,2026-02-23
XLMUSD,XLMUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XLMUSD/D/XLMUSD_data.csv,3418,3418,2016-10-02,2026-02-23
XMRUSD,XMRUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XMRUSD/D/XMRUSD_data.csv,3121,3121,2017-05-15,2026-02-23
XTZUSD,XTZUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/XTZUSD/D/XTZUSD_data.csv,2479,2479,2019-04-15,2026-02-23
AAPL,AAPL,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/AAPL/D/AAPL_data.csv,5330,5330,2007-04-27,2026-02-20
