lbw,asset_id,state,rows_written,last_timestamp,retry_count,fallback_count,started_at,finished_at,output_path,error_message
10,AMZN,completed,1714,2026-02-20T00:00:00,9,2,2026-04-23T08:08:55Z,2026-04-23T08:08:55Z,artifacts/features/cpd/lbw_10/AMZN_cpd.csv,
21,AMZN,completed,1714,2026-02-20T00:00:00,1,0,2026-04-23T22:38:18Z,2026-04-23T22:38:18Z,artifacts/features/cpd/lbw_21/AMZN_cpd.csv,
63,AMZN,completed,1714,2026-02-20T00:00:00,1,0,2026-04-24T20:00:26Z,2026-04-24T20:00:26Z,artifacts/features/cpd/lbw_63/AMZN_cpd.csv,
126,AMZN,completed,1714,2026-02-20T00:00:00,0,0,2026-04-25T21:54:41Z,2026-04-25T21:54:41Z,artifacts/features/cpd/lbw_126/AMZN_cpd.csv,
252,AMZN,completed,1714,2026-02-20T00:00:00,0,0,2026-04-27T11:20:32Z,2026-04-27T11:20:32Z,artifacts/features/cpd/lbw_252/AMZN_cpd.csv,
10,AUDCAD,completed,6708,2026-02-23T00:00:00,17,2,2026-04-23T08:08:55Z,2026-04-23T08:08:55Z,artifacts/features/cpd/lbw_10/AUDCAD_cpd.csv,
21,AUDCAD,completed,6708,2026-02-23T00:00:00,5,0,2026-04-23T22:38:18Z,2026-04-23T22:38:18Z,artifacts/features/cpd/lbw_21/AUDCAD_cpd.csv,
63,AUDCAD,completed,6708,2026-02-23T00:00:00,2,0,2026-04-24T20:00:26Z,2026-04-24T20:00:26Z,artifacts/features/cpd/lbw_63/AUDCAD_cpd.csv,
126,AUDCAD,completed,6708,2026-02-23T00:00:00,0,0,2026-04-25T21:54:41Z,2026-04-25T21:54:41Z,artifacts/features/cpd/lbw_126/AUDCAD_cpd.csv,
252,AUDCAD,completed,6708,2026-02-23T00:00:00,0,0,2026-04-27T11:20:33Z,2026-04-27T11:20:33Z,artifacts/features/cpd/lbw_252/AUDCAD_cpd.csv,
10,AUDCHF,completed,6639,2026-02-23T00:00:00,26,5,2026-04-23T08:08:58Z,2026-04-23T08:08:58Z,artifacts/features/cpd/lbw_10/AUDCHF_cpd.csv,
21,AUDCHF,completed,6639,2026-02-23T00:00:00,6,0,2026-04-23T22:38:21Z,2026-04-23T22:38:21Z,artifacts/features/cpd/lbw_21/AUDCHF_cpd.csv,
63,AUDCHF,completed,6639,2026-02-23T00:00:00,2,0,2026-04-24T20:00:29Z,2026-04-24T20:00:29Z,artifacts/features/cpd/lbw_63/AUDCHF_cpd.csv,
126,AUDCHF,completed,6639,2026-02-23T00:00:00,0,0,2026-04-25T21:54:44Z,2026-04-25T21:54:44Z,artifacts/features/cpd/lbw_126/AUDCHF_cpd.csv,
252,AUDCHF,completed,6639,2026-02-23T00:00:00,1,0,2026-04-27T11:20:33Z,2026-04-27T11:20:33Z,artifacts/features/cpd/lbw_252/AUDCHF_cpd.csv,
10,AUDJPY,completed,6672,2026-02-23T00:00:00,22,3,2026-04-23T08:08:58Z,2026-04-23T08:08:58Z,artifacts/features/cpd/lbw_10/AUDJPY_cpd.csv,
21,AUDJPY,completed,6672,2026-02-23T00:00:00,11,0,2026-04-23T22:38:21Z,2026-04-23T22:38:21Z,artifacts/features/cpd/lbw_21/AUDJPY_cpd.csv,
63,AUDJPY,completed,6672,2026-02-23T00:00:00,4,0,2026-04-24T20:00:29Z,2026-04-24T20:00:29Z,artifacts/features/cpd/lbw_63/AUDJPY_cpd.csv,
126,AUDJPY,completed,6672,2026-02-23T00:00:00,0,0,2026-04-25T21:54:44Z,2026-04-25T21:54:44Z,artifacts/features/cpd/lbw_126/AUDJPY_cpd.csv,
252,AUDJPY,completed,6672,2026-02-23T00:00:00,0,0,2026-04-27T11:20:36Z,2026-04-27T11:20:36Z,artifacts/features/cpd/lbw_252/AUDJPY_cpd.csv,
10,AUDNZD,completed,6618,2026-02-23T00:00:00,11,1,2026-04-23T08:09:01Z,2026-04-23T08:09:01Z,artifacts/features/cpd/lbw_10/AUDNZD_cpd.csv,
21,AUDNZD,completed,6618,2026-02-23T00:00:00,7,0,2026-04-23T22:38:24Z,2026-04-23T22:38:24Z,artifacts/features/cpd/lbw_21/AUDNZD_cpd.csv,
63,AUDNZD,completed,6618,2026-02-23T00:00:00,0,0,2026-04-24T20:00:33Z,2026-04-24T20:00:33Z,artifacts/features/cpd/lbw_63/AUDNZD_cpd.csv,
126,AUDNZD,completed,6618,2026-02-23T00:00:00,0,0,2026-04-25T21:54:47Z,2026-04-25T21:54:47Z,artifacts/features/cpd/lbw_126/AUDNZD_cpd.csv,
252,AUDNZD,completed,6618,2026-02-23T00:00:00,0,0,2026-04-27T11:20:36Z,2026-04-27T11:20:36Z,artifacts/features/cpd/lbw_252/AUDNZD_cpd.csv,
10,AUDUSD,completed,6730,2026-02-23T00:00:00,17,3,2026-04-23T08:09:01Z,2026-04-23T08:09:01Z,artifacts/features/cpd/lbw_10/AUDUSD_cpd.csv,
21,AUDUSD,completed,6730,2026-02-23T00:00:00,8,0,2026-04-23T22:38:24Z,2026-04-23T22:38:24Z,artifacts/features/cpd/lbw_21/AUDUSD_cpd.csv,
