asset_id,lbw,signal_timestamp,next_day_position,candidate_id,model_path
BAC,63,2026-02-20T00:00:00,0.10066515207290649,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GOOG,63,2026-02-20T00:00:00,0.33063918352127075,C-031,artifacts/training/candidates/candidate_030/best_model.keras
META,63,2026-02-20T00:00:00,0.11311390250921249,C-031,artifacts/training/candidates/candidate_030/best_model.keras
MSFT,63,2026-02-20T00:00:00,0.3389090895652771,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NFLX,63,2026-02-20T00:00:00,0.11694957315921783,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NVDA,63,2026-02-20T00:00:00,0.33703663945198059,C-031,artifacts/training/candidates/candidate_030/best_model.keras
PFE,63,2026-02-20T00:00:00,0.15578989684581757,C-031,artifacts/training/candidates/candidate_030/best_model.keras
RACE,63,2026-02-20T00:00:00,-0.017829963937401772,C-031,artifacts/training/candidates/candidate_030/best_model.keras
T,63,2026-02-20T00:00:00,0.13198378682136536,C-031,artifacts/training/candidates/candidate_030/best_model.keras
TSLA,63,2026-02-20T00:00:00,0.06615399569272995,C-031,artifacts/training/candidates/candidate_030/best_model.keras
V,63,2026-02-20T00:00:00,0.19503086805343628,C-031,artifacts/training/candidates/candidate_030/best_model.keras
WMT,63,2026-02-20T00:00:00,0.37291654944419861,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ZM,63,2026-02-20T00:00:00,0.089810535311698914,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AIRF,63,2026-02-20T00:00:00,0.32853001356124878,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ALVG,63,2026-02-20T00:00:00,0.45907902717590332,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BAYGn,63,2026-02-20T00:00:00,0.56064486503601074,C-031,artifacts/training/candidates/candidate_030/best_model.keras
DBKGn,63,2026-02-20T00:00:00,0.55051261186599731,C-031,artifacts/training/candidates/candidate_030/best_model.keras
IBE,63,2026-02-20T00:00:00,0.50940454006195068,C-031,artifacts/training/candidates/candidate_030/best_model.keras
LVMH,63,2026-02-20T00:00:00,-0.084772408008575439,C-031,artifacts/training/candidates/candidate_030/best_model.keras
VOWG_p,63,2026-02-20T00:00:00,0.11372470855712891,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCZK,63,2026-02-23T00:00:00,-0.1074187234044075,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURHUF,63,2026-02-23T00:00:00,0.088378526270389557,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURNOK,63,2026-02-23T00:00:00,-0.0087214875966310501,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURPLN,63,2026-02-23T00:00:00,-0.035572852939367294,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCNH,63,2026-02-23T00:00:00,-0.15106968581676483,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCZK,63,2026-02-23T00:00:00,-0.15829010307788849,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDHKD,63,2026-02-23T00:00:00,0.11965750902891159,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDHUF,63,2026-02-23T00:00:00,0.0081435134634375572,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDILS,63,2026-02-23T00:00:00,-0.14230729639530182,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDMXN,63,2026-02-23T00:00:00,-0.0093375407159328461,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDNOK,63,2026-02-23T00:00:00,-0.066877499222755432,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDPLN,63,2026-02-23T00:00:00,-0.14310255646705627,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDSEK,63,2026-02-23T00:00:00,-0.033145945519208908,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDSGD,63,2026-02-23T00:00:00,-0.19018545746803284,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDZAR,63,2026-02-23T00:00:00,-0.12237965315580368,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDCAD,63,2026-02-23T00:00:00,0.41257745027542114,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDCHF,63,2026-02-23T00:00:00,-0.27919062972068787,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDJPY,63,2026-02-23T00:00:00,0.35282555222511292,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDNZD,63,2026-02-23T00:00:00,0.34279987215995789,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDUSD,63,2026-02-23T00:00:00,0.43229833245277405,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CADCHF,63,2026-02-23T00:00:00,-0.15022729337215424,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CADJPY,63,2026-02-23T00:00:00,0.17747089266777039,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CHFJPY,63,2026-02-23T00:00:00,0.49219208955764771,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURAUD,63,2026-02-23T00:00:00,0.43118318915367126,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCAD,63,2026-02-23T00:00:00,0.51637852191925049,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCHF,63,2026-02-23T00:00:00,-0.084166273474693298,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURGBP,63,2026-02-23T00:00:00,0.34182047843933105,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURJPY,63,2026-02-23T00:00:00,0.40385439991950989,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURNZD,63,2026-02-23T00:00:00,0.64394789934158325,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURUSD,63,2026-02-23T00:00:00,0.47900643944740295,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPAUD,63,2026-02-23T00:00:00,0.31790784001350403,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPCAD,63,2026-02-23T00:00:00,0.24530085921287537,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPCHF,63,2026-02-23T00:00:00,-0.031777944415807724,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPJPY,63,2026-02-23T00:00:00,0.28289872407913208,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPNZD,63,2026-02-23T00:00:00,0.52504396438598633,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPUSD,63,2026-02-23T00:00:00,0.23906846344470978,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDCAD,63,2026-02-23T00:00:00,-0.034178957343101501,C-031,artifacts/training/candidates/candidate_030/best_model.keras
