asset_id,lbw,sequence_start_timestamp,sequence_end_timestamp,row_count,start_timeline_index,end_timeline_index,candidate_id,model_path
COCOA.c,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,713,775,C-031,artifacts/training/candidates/candidate_030/best_model.keras
COFFEE.c,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,713,775,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CORN.c,63,2025-11-20T00:00:00,2026-02-23T00:00:00,63,665,727,C-031,artifacts/training/candidates/candidate_030/best_model.keras
SOYBEAN.c,63,2025-11-20T00:00:00,2026-02-23T00:00:00,63,578,640,C-031,artifacts/training/candidates/candidate_030/best_model.keras
WHEAT.c,63,2025-11-20T00:00:00,2026-02-23T00:00:00,63,668,730,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GER40.cash,63,2025-11-20T00:00:00,2026-02-23T00:00:00,63,1878,1940,C-031,artifacts/training/candidates/candidate_030/best_model.keras
UK100.cash,63,2025-11-24T00:00:00,2026-02-23T00:00:00,63,2052,2114,C-031,artifacts/training/candidates/candidate_030/best_model.keras
US100.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2043,2105,C-031,artifacts/training/candidates/candidate_030/best_model.keras
US30.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,1736,1798,C-031,artifacts/training/candidates/candidate_030/best_model.keras
US500.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2043,2105,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUS200.cash,63,2025-11-24T00:00:00,2026-02-23T00:00:00,63,1717,1779,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EU50.cash,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,2012,2074,C-031,artifacts/training/candidates/candidate_030/best_model.keras
FRA40.cash,63,2025-11-21T00:00:00,2026-02-20T00:00:00,63,2022,2084,C-031,artifacts/training/candidates/candidate_030/best_model.keras
HK50.cash,63,2025-11-19T00:00:00,2026-02-23T00:00:00,63,1708,1770,C-031,artifacts/training/candidates/candidate_030/best_model.keras
JP225.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2096,2158,C-031,artifacts/training/candidates/candidate_030/best_model.keras
N25.cash,63,2025-11-21T00:00:00,2026-02-20T00:00:00,63,1137,1199,C-031,artifacts/training/candidates/candidate_030/best_model.keras
SPN35.cash,63,2025-11-21T00:00:00,2026-02-20T00:00:00,63,1290,1352,C-031,artifacts/training/candidates/candidate_030/best_model.keras
UKOIL.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2476,2538,C-031,artifacts/training/candidates/candidate_030/best_model.keras
US2000.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2024,2086,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USOIL.cash,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,1266,1328,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ADAUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1560,1622,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AVAUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1912,1974,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BCHUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3009,3071,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BTCUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,5278,5340,C-031,artifacts/training/candidates/candidate_030/best_model.keras
DASHUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1855,1917,C-031,artifacts/training/candidates/candidate_030/best_model.keras
DOTUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1560,1622,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ETCUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3009,3071,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ETHUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3207,3269,C-031,artifacts/training/candidates/candidate_030/best_model.keras
LTCUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,5025,5087,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XRPUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3322,3384,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AAVUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1810,1872,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ALGUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,2249,2311,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BARUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1736,1798,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BNBUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3067,3129,C-031,artifacts/training/candidates/candidate_030/best_model.keras
DOGEUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1560,1622,C-031,artifacts/training/candidates/candidate_030/best_model.keras
FETUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,561,623,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GALUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1551,1613,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GRTUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1809,1871,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ICPUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,561,623,C-031,artifacts/training/candidates/candidate_030/best_model.keras
IMXUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1437,1499,C-031,artifacts/training/candidates/candidate_030/best_model.keras
LNKUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3009,3071,C-031,artifacts/training/candidates/candidate_030/best_model.keras
MANUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1810,1872,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NEOUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,2782,2844,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NERUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1891,1953,C-031,artifacts/training/candidates/candidate_030/best_model.keras
SANUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1953,2015,C-031,artifacts/training/candidates/candidate_030/best_model.keras
UNIUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,1721,1783,C-031,artifacts/training/candidates/candidate_030/best_model.keras
VECUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,2126,2188,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XLMUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3355,3417,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XMRUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,3058,3120,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XTZUSD,63,2025-12-23T00:00:00,2026-02-23T00:00:00,63,2416,2478,C-031,artifacts/training/candidates/candidate_030/best_model.keras
