asset_id,lbw,sequence_start_timestamp,sequence_end_timestamp,row_count,start_timeline_index,end_timeline_index,candidate_id,model_path
AAPL,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,5267,5329,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AMZN,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BABA,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BAC,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GOOG,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
META,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
MSFT,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,5260,5322,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NFLX,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NVDA,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1260,1322,C-031,artifacts/training/candidates/candidate_030/best_model.keras
PFE,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
RACE,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
T,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
TSLA,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1652,1714,C-031,artifacts/training/candidates/candidate_030/best_model.keras
V,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1651,1713,C-031,artifacts/training/candidates/candidate_030/best_model.keras
WMT,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1261,1323,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ZM,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1261,1323,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AIRF,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1678,1740,C-031,artifacts/training/candidates/candidate_030/best_model.keras
ALVG,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1668,1730,C-031,artifacts/training/candidates/candidate_030/best_model.keras
BAYGn,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1669,1731,C-031,artifacts/training/candidates/candidate_030/best_model.keras
DBKGn,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1668,1730,C-031,artifacts/training/candidates/candidate_030/best_model.keras
IBE,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1676,1738,C-031,artifacts/training/candidates/candidate_030/best_model.keras
LVMH,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1677,1739,C-031,artifacts/training/candidates/candidate_030/best_model.keras
VOWG_p,63,2025-11-19T00:00:00,2026-02-20T00:00:00,63,1668,1730,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCZK,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2781,2843,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURHUF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2827,2889,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURNOK,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,3326,3388,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURPLN,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2825,2887,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCNH,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,495,557,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCZK,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2836,2898,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDHKD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4617,4679,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDHUF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2827,2889,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDILS,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,1011,1073,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDMXN,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4635,4697,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDNOK,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,5125,5187,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDPLN,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,3338,3400,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDSEK,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6665,6727,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDSGD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,493,555,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDZAR,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,5019,5081,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDCAD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6645,6707,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6576,6638,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6609,6671,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDNZD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6555,6617,C-031,artifacts/training/candidates/candidate_030/best_model.keras
AUDUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6667,6729,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CADCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6497,6559,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CADJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4863,4925,C-031,artifacts/training/candidates/candidate_030/best_model.keras
CHFJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6611,6673,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURAUD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,5559,5621,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCAD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6513,6575,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6657,6719,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURGBP,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6663,6725,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6541,6603,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURNZD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6494,6556,C-031,artifacts/training/candidates/candidate_030/best_model.keras
EURUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6668,6730,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPAUD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4721,4783,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPCAD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4725,4787,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6623,6685,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6669,6731,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPNZD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,3904,3966,C-031,artifacts/training/candidates/candidate_030/best_model.keras
GBPUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6667,6729,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDCAD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4713,4775,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4732,4794,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4876,4938,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6667,6729,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCAD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6669,6731,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCHF,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6667,6729,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDJPY,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,6667,6729,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGAUD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2343,2405,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGEUR,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2135,2197,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,4401,4463,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUAUD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2346,2408,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUEUR,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2348,2410,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,5520,5582,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XPDUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2699,2761,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XPTUSD,63,2025-11-25T00:00:00,2026-02-23T00:00:00,63,2712,2774,C-031,artifacts/training/candidates/candidate_030/best_model.keras
