asset_id,lbw,split,previous_timestamp,current_timestamp,previous_timeline_index,current_timeline_index,missing_steps,reason_code
LTCUSD,10,train,2012-12-15T00:00:00,2012-12-28T00:00:00,324,337,12,GAP_IN_TIMELINE
LTCUSD,10,train,2013-01-07T00:00:00,2013-01-14T00:00:00,347,354,6,GAP_IN_TIMELINE
LTCUSD,10,train,2013-01-24T00:00:00,2013-01-31T00:00:00,364,371,6,GAP_IN_TIMELINE
ALGUSD,10,train,2020-08-25T00:00:00,2020-08-27T00:00:00,337,339,1,GAP_IN_TIMELINE
ALGUSD,10,train,2021-01-25T00:00:00,2021-01-27T00:00:00,467,469,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-05-08T00:00:00,2020-05-10T00:00:00,960,962,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-06-19T00:00:00,2020-06-21T00:00:00,1002,1004,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-08-21T00:00:00,2020-08-23T00:00:00,1065,1067,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-10-30T00:00:00,2020-11-01T00:00:00,1135,1137,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-11-02T00:00:00,2020-11-05T00:00:00,1138,1141,2,GAP_IN_TIMELINE
LNKUSD,10,train,2020-12-11T00:00:00,2020-12-13T00:00:00,1177,1179,1,GAP_IN_TIMELINE
LNKUSD,10,train,2020-12-14T00:00:00,2020-12-17T00:00:00,1180,1183,2,GAP_IN_TIMELINE
LNKUSD,10,train,2020-12-29T00:00:00,2020-12-31T00:00:00,1195,1197,1,GAP_IN_TIMELINE
LNKUSD,10,train,2021-02-12T00:00:00,2021-02-14T00:00:00,1240,1242,1,GAP_IN_TIMELINE
LNKUSD,10,train,2021-02-15T00:00:00,2021-02-18T00:00:00,1243,1246,2,GAP_IN_TIMELINE
LNKUSD,10,train,2021-06-22T00:00:00,2021-06-24T00:00:00,1370,1372,1,GAP_IN_TIMELINE
LNKUSD,10,train,2021-06-25T00:00:00,2021-06-28T00:00:00,1373,1376,2,GAP_IN_TIMELINE
