timestamp,asset_id,close
2017-05-15T00:00:00,XMRUSD,27.93
2017-05-16T00:00:00,XMRUSD,27.1
2017-05-17T00:00:00,XMRUSD,28.35
2017-05-18T00:00:00,XMRUSD,31.17
2017-05-19T00:00:00,XMRUSD,31.43
2017-05-22T00:00:00,XMRUSD,37.69
2017-05-23T00:00:00,XMRUSD,47.97
2017-05-24T00:00:00,XMRUSD,50.43
2017-05-25T00:00:00,XMRUSD,43.48
2017-05-26T00:00:00,XMRUSD,35.97
2017-05-29T00:00:00,XMRUSD,40.55
2017-05-30T00:00:00,XMRUSD,42.13
2017-05-31T00:00:00,XMRUSD,40.43
2017-06-01T00:00:00,XMRUSD,42.75
2017-06-02T00:00:00,XMRUSD,41.98
2017-06-05T00:00:00,XMRUSD,45.5
2017-06-06T00:00:00,XMRUSD,50.11
2017-06-07T00:00:00,XMRUSD,54.4
2017-06-08T00:00:00,XMRUSD,55.09
2017-06-09T00:00:00,XMRUSD,56.14
2017-06-10T00:00:00,XMRUSD,51.92
2017-06-11T00:00:00,XMRUSD,55.16
2017-06-12T00:00:00,XMRUSD,48.2
2017-06-13T00:00:00,XMRUSD,51.58
2017-06-14T00:00:00,XMRUSD,46.96
2017-06-15T00:00:00,XMRUSD,43.92
2017-06-16T00:00:00,XMRUSD,46.55
2017-06-17T00:00:00,XMRUSD,51.65
2017-06-18T00:00:00,XMRUSD,47.72
2017-06-19T00:00:00,XMRUSD,49.93
2017-06-20T00:00:00,XMRUSD,51.24
2017-06-21T00:00:00,XMRUSD,48.74
2017-06-22T00:00:00,XMRUSD,48.85
2017-06-23T00:00:00,XMRUSD,51.25
2017-06-24T00:00:00,XMRUSD,46.63
2017-06-25T00:00:00,XMRUSD,44.22
2017-06-26T00:00:00,XMRUSD,39.24
2017-06-27T00:00:00,XMRUSD,41.44
2017-06-28T00:00:00,XMRUSD,45.4
2017-06-29T00:00:00,XMRUSD,43.99
2017-06-30T00:00:00,XMRUSD,43.2
2017-07-01T00:00:00,XMRUSD,38.15
2017-07-02T00:00:00,XMRUSD,40.93
2017-07-03T00:00:00,XMRUSD,42.73
2017-07-04T00:00:00,XMRUSD,43.44
2017-07-05T00:00:00,XMRUSD,44.68
2017-07-06T00:00:00,XMRUSD,48.76
2017-07-07T00:00:00,XMRUSD,44.2
2017-07-08T00:00:00,XMRUSD,43.94
2017-07-09T00:00:00,XMRUSD,45.21
2017-07-10T00:00:00,XMRUSD,40.11
2017-07-11T00:00:00,XMRUSD,35.86
2017-07-12T00:00:00,XMRUSD,39.29
2017-07-13T00:00:00,XMRUSD,37.13
2017-07-14T00:00:00,XMRUSD,33.86
2017-07-15T00:00:00,XMRUSD,31.77
2017-07-16T00:00:00,XMRUSD,28.3
2017-07-17T00:00:00,XMRUSD,34.11
2017-07-18T00:00:00,XMRUSD,36.09
2017-07-19T00:00:00,XMRUSD,34.15
2017-07-20T00:00:00,XMRUSD,39.33
2017-07-21T00:00:00,XMRUSD,39.17
2017-07-22T00:00:00,XMRUSD,43.67
2017-07-23T00:00:00,XMRUSD,42.61
2017-07-24T00:00:00,XMRUSD,45.01
2017-07-25T00:00:00,XMRUSD,37.72
2017-07-26T00:00:00,XMRUSD,44.96
2017-07-27T00:00:00,XMRUSD,43.59
2017-07-28T00:00:00,XMRUSD,43.7
2017-07-29T00:00:00,XMRUSD,43.87
2017-07-30T00:00:00,XMRUSD,40.43
2017-07-31T00:00:00,XMRUSD,39.97
2017-08-01T00:00:00,XMRUSD,43.75
2017-08-02T00:00:00,XMRUSD,42.98
2017-08-03T00:00:00,XMRUSD,43.55
2017-08-04T00:00:00,XMRUSD,44.11
2017-08-05T00:00:00,XMRUSD,48.14
2017-08-06T00:00:00,XMRUSD,47.47
2017-08-07T00:00:00,XMRUSD,48.29
2017-08-08T00:00:00,XMRUSD,51.18
2017-08-09T00:00:00,XMRUSD,50.73
2017-08-10T00:00:00,XMRUSD,49.44
2017-08-11T00:00:00,XMRUSD,50.27
2017-08-12T00:00:00,XMRUSD,47.76
2017-08-13T00:00:00,XMRUSD,46.41
2017-08-14T00:00:00,XMRUSD,48.54
2017-08-15T00:00:00,XMRUSD,47.09
2017-08-16T00:00:00,XMRUSD,48.59
2017-08-17T00:00:00,XMRUSD,47.21
2017-08-18T00:00:00,XMRUSD,46.72
2017-08-19T00:00:00,XMRUSD,56.47
2017-08-20T00:00:00,XMRUSD,54.85
2017-08-21T00:00:00,XMRUSD,71.1
2017-08-22T00:00:00,XMRUSD,84.6
2017-08-23T00:00:00,XMRUSD,86.6
2017-08-24T00:00:00,XMRUSD,85.52
2017-08-25T00:00:00,XMRUSD,97.32
2017-08-26T00:00:00,XMRUSD,136.97
2017-08-27T00:00:00,XMRUSD,128.6
2017-08-28T00:00:00,XMRUSD,135.9
2017-08-29T00:00:00,XMRUSD,129.7
2017-08-30T00:00:00,XMRUSD,130.16
2017-08-31T00:00:00,XMRUSD,140.48
2017-09-01T00:00:00,XMRUSD,145.09
2017-09-02T00:00:00,XMRUSD,120.69
2017-09-03T00:00:00,XMRUSD,120.69
2017-09-04T00:00:00,XMRUSD,107.8
2017-09-05T00:00:00,XMRUSD,116.49
2017-09-06T00:00:00,XMRUSD,120.03
2017-09-07T00:00:00,XMRUSD,118.46
