asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
AUS200.cash,252,train,2025-05-06T00:00:00,2025-07-28T00:00:00,1573,1632,60,TERMINAL_FRAGMENT_LT_63,0
AUS200.cash,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1779,1779,1,MISSING_NEXT_RETURN,0
AUS200.cash,252,validation,2026-01-26T00:00:00,2026-02-20T00:00:00,1759,1778,20,TERMINAL_FRAGMENT_LT_63,0
ADAUSD,252,train,2025-08-31T00:00:00,2025-10-15T00:00:00,1447,1491,45,TERMINAL_FRAGMENT_LT_63,0
ADAUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1622,1622,1,MISSING_NEXT_RETURN,0
ADAUSD,252,validation,2026-02-19T00:00:00,2026-02-22T00:00:00,1618,1621,4,TERMINAL_FRAGMENT_LT_63,0
AVAUSD,252,train,2025-07-22T00:00:00,2025-09-09T00:00:00,1762,1807,46,TERMINAL_FRAGMENT_LT_63,0
AVAUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1974,1974,1,MISSING_NEXT_RETURN,0
AVAUSD,252,validation,2026-01-14T00:00:00,2026-02-22T00:00:00,1934,1973,40,TERMINAL_FRAGMENT_LT_63,0
BCHUSD,252,train,2025-04-22T00:00:00,2025-05-17T00:00:00,2770,2795,26,TERMINAL_FRAGMENT_LT_63,0
BCHUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3071,3071,1,MISSING_NEXT_RETURN,0
BCHUSD,252,validation,2026-01-31T00:00:00,2026-02-22T00:00:00,3048,3070,23,TERMINAL_FRAGMENT_LT_63,0
BTCUSD,252,train,2024-08-14T00:00:00,2024-10-04T00:00:00,4786,4837,52,TERMINAL_FRAGMENT_LT_63,0
BTCUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,5340,5340,1,MISSING_NEXT_RETURN,0
BTCUSD,252,validation,2025-12-24T00:00:00,2026-02-22T00:00:00,5279,5339,61,TERMINAL_FRAGMENT_LT_63,0
AAVUSD,252,train,2025-09-02T00:00:00,2025-09-20T00:00:00,1699,1716,18,TERMINAL_FRAGMENT_LT_63,0
AAVUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1872,1872,1,MISSING_NEXT_RETURN,0
AAVUSD,252,validation,2026-01-25T00:00:00,2026-02-22T00:00:00,1843,1871,29,TERMINAL_FRAGMENT_LT_63,0
ALGUSD,252,train,2021-01-24T00:00:00,2021-01-25T00:00:00,466,467,2,TERMINAL_FRAGMENT_LT_63,0
ALGUSD,252,train,2025-07-31T00:00:00,2025-08-20T00:00:00,2107,2126,20,TERMINAL_FRAGMENT_LT_63,0
ALGUSD,252,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2311,2311,1,MISSING_NEXT_RETURN,0
