timestamp,asset_id,close,arithmetic_return,sigma_t
2011-10-25T00:00:00,LTCUSD,0.01,,
2011-10-26T00:00:00,LTCUSD,0.01,0,
2011-10-27T00:00:00,LTCUSD,0.01,0,
2011-10-28T00:00:00,LTCUSD,0.02,1,
2011-10-29T00:00:00,LTCUSD,0.02,0,
2011-10-30T00:00:00,LTCUSD,0.02,0,
2011-10-31T00:00:00,LTCUSD,0.02,0,
2011-11-01T00:00:00,LTCUSD,0.03,0.49999999999999989,
2011-11-02T00:00:00,LTCUSD,0.03,0,
2011-11-03T00:00:00,LTCUSD,0.03,0,
2011-11-04T00:00:00,LTCUSD,0.02,-0.33333333333333331,
2011-11-05T00:00:00,LTCUSD,0.02,0,
2011-11-06T00:00:00,LTCUSD,0.02,0,
2011-11-07T00:00:00,LTCUSD,0.02,0,
2011-11-08T00:00:00,LTCUSD,0.02,0,
2011-11-09T00:00:00,LTCUSD,0.02,0,
2011-11-10T00:00:00,LTCUSD,0.01,-0.5,
2011-11-11T00:00:00,LTCUSD,0.01,0,
2011-11-12T00:00:00,LTCUSD,0.02,1,
2011-11-13T00:00:00,LTCUSD,0.01,-0.5,
2011-11-14T00:00:00,LTCUSD,0.01,0,
2011-11-15T00:00:00,LTCUSD,0.01,0,
2011-11-16T00:00:00,LTCUSD,0.02,1,
2011-11-17T00:00:00,LTCUSD,0.01,-0.5,
2011-11-18T00:00:00,LTCUSD,0.01,0,
2011-11-19T00:00:00,LTCUSD,0.01,0,
2011-11-20T00:00:00,LTCUSD,0.01,0,
2011-11-21T00:00:00,LTCUSD,0.01,0,
2011-11-22T00:00:00,LTCUSD,0.01,0,
2011-11-23T00:00:00,LTCUSD,0.01,0,
2011-11-24T00:00:00,LTCUSD,0.01,0,
2011-11-25T00:00:00,LTCUSD,0.01,0,
2011-11-26T00:00:00,LTCUSD,0.01,0,
2011-11-27T00:00:00,LTCUSD,0.01,0,
2011-11-28T00:00:00,LTCUSD,0.01,0,
2011-11-29T00:00:00,LTCUSD,0.01,0,
2011-11-30T00:00:00,LTCUSD,0.02,1,
2011-12-01T00:00:00,LTCUSD,0.01,-0.5,
2011-12-02T00:00:00,LTCUSD,0.01,0,
2011-12-03T00:00:00,LTCUSD,0.02,1,
2011-12-04T00:00:00,LTCUSD,0.02,0,
2011-12-05T00:00:00,LTCUSD,0.02,0,
2011-12-06T00:00:00,LTCUSD,0.01,-0.5,
2011-12-07T00:00:00,LTCUSD,0.01,0,
2011-12-08T00:00:00,LTCUSD,0.01,0,
2011-12-09T00:00:00,LTCUSD,0.01,0,
2011-12-10T00:00:00,LTCUSD,0.01,0,
2011-12-11T00:00:00,LTCUSD,0.01,0,
2011-12-12T00:00:00,LTCUSD,0.01,0,
2011-12-13T00:00:00,LTCUSD,0.01,0,
2011-12-14T00:00:00,LTCUSD,0.01,0,
2011-12-15T00:00:00,LTCUSD,0.01,0,
2011-12-16T00:00:00,LTCUSD,0.01,0,
2011-12-17T00:00:00,LTCUSD,0.01,0,
2011-12-18T00:00:00,LTCUSD,0.01,0,
2011-12-19T00:00:00,LTCUSD,0.01,0,
2011-12-20T00:00:00,LTCUSD,0.01,0,
2011-12-21T00:00:00,LTCUSD,0.01,0,
2011-12-22T00:00:00,LTCUSD,0.01,0,
2011-12-23T00:00:00,LTCUSD,0.01,0,
2011-12-24T00:00:00,LTCUSD,0.01,0,0.26828405234886687
2011-12-25T00:00:00,LTCUSD,0.01,0,0.26371738274853862
2011-12-26T00:00:00,LTCUSD,0.01,0,0.25923816919673398
2011-12-27T00:00:00,LTCUSD,0.01,0,0.25484391473953732
2011-12-28T00:00:00,LTCUSD,0.01,0,0.2505322560005005
2011-12-29T00:00:00,LTCUSD,0.01,0,0.24630095265554161
2011-12-30T00:00:00,LTCUSD,0.01,0,0.24214787787193751
2011-12-31T00:00:00,LTCUSD,0.01,0,0.23807100961419705
2012-01-01T00:00:00,LTCUSD,0.02,1,0.29349548123235641
2012-01-02T00:00:00,LTCUSD,0.01,-0.5,0.30524339309815451
2012-01-03T00:00:00,LTCUSD,0.01,0,0.30015377778132485
2012-01-04T00:00:00,LTCUSD,0.01,0,0.29515376059403692
2012-01-05T00:00:00,LTCUSD,0.01,0,0.29024132086420612
2012-01-06T00:00:00,LTCUSD,0.01,0,0.28541452053664629
2012-01-07T00:00:00,LTCUSD,0.01,0,0.28067149841848271
2012-01-08T00:00:00,LTCUSD,0.01,0,0.27601046491602832
2012-01-09T00:00:00,LTCUSD,0.01,0,0.27142969721764476
2012-01-10T00:00:00,LTCUSD,0.01,0,0.26692753488164145
2012-01-11T00:00:00,LTCUSD,0.01,0,0.26250237579230101
2012-01-12T00:00:00,LTCUSD,0.01,0,0.25815267245072304
2012-01-13T00:00:00,LTCUSD,0.01,0,0.25387692857039729
2012-01-14T00:00:00,LTCUSD,0.01,0,0.24967369595029698
2012-01-15T00:00:00,LTCUSD,0.01,0,0.24554157160086823
2012-01-16T00:00:00,LTCUSD,0.01,0,0.24147919510060642
2012-01-17T00:00:00,LTCUSD,0.01,0,0.23748524616299441
2012-01-18T00:00:00,LTCUSD,0.01,0,0.23355844239545115
2012-01-19T00:00:00,LTCUSD,0.01,0,0.22969753723362643
2012-01-21T00:00:00,LTCUSD,0.01,0,0.22590131803590005
2012-01-31T00:00:00,LTCUSD,0.01,0,0.22216860432431762
2012-02-01T00:00:00,LTCUSD,0.02,1,0.28094517042232703
2012-02-02T00:00:00,LTCUSD,0.02,0,0.27642219499723092
2012-02-03T00:00:00,LTCUSD,0.02,0,0.27196877791139995
2012-02-04T00:00:00,LTCUSD,0.01,-0.5,0.28494690028818381
2012-02-05T00:00:00,LTCUSD,0.01,0,0.28026375721495927
2012-02-06T00:00:00,LTCUSD,0.01,0,0.27565735221679205
2012-02-07T00:00:00,LTCUSD,0.01,0,0.27112639808733624
2012-02-08T00:00:00,LTCUSD,0.01,0,0.26666963395820603
2012-02-09T00:00:00,LTCUSD,0.01,0,0.2622858242815006
2012-02-10T00:00:00,LTCUSD,0.02,1,0.31188420859900601
2012-02-11T00:00:00,LTCUSD,0.02,0,0.30688088667199731
2012-02-12T00:00:00,LTCUSD,0.01,-0.5,0.3178226777453626
2012-02-13T00:00:00,LTCUSD,0.01,0,0.31262370527990024
2012-02-14T00:00:00,LTCUSD,0.01,0,0.30750841642660076
2012-02-15T00:00:00,LTCUSD,0.01,0,0.30247550523163957
2012-02-16T00:00:00,LTCUSD,0.01,0,0.29752368616114999
2012-02-17T00:00:00,LTCUSD,0.01,0,0.2926516936127106
2012-02-18T00:00:00,LTCUSD,0.01,0,0.28785828145893499
2012-02-19T00:00:00,LTCUSD,0.01,0,0.28314222262011429
2012-02-20T00:00:00,LTCUSD,0.01,0,0.27850230866314579
2012-02-21T00:00:00,LTCUSD,0.01,0,0.27393734942424075
2012-02-22T00:00:00,LTCUSD,0.01,0,0.26944617265313947
2012-02-23T00:00:00,LTCUSD,0.01,0,0.26502762367677551
2012-02-24T00:00:00,LTCUSD,0.01,0,0.26068056508052778
2012-02-25T00:00:00,LTCUSD,0.01,0,0.25640387640537421
2012-02-27T00:00:00,LTCUSD,0.01,0,0.25219645385942374
2012-02-28T00:00:00,LTCUSD,0.01,0,0.24805721004245021
2012-02-29T00:00:00,LTCUSD,0.01,0,0.24398507368218394
2012-03-01T00:00:00,LTCUSD,0.01,0,0.23997898938123932
2012-03-02T00:00:00,LTCUSD,0.01,0,0.23603791737366642
2012-03-04T00:00:00,LTCUSD,0.01,0,0.23216083329021486
2012-03-05T00:00:00,LTCUSD,0.01,0,0.22834672793148922
2012-03-06T00:00:00,LTCUSD,0.01,0,0.22459460704825762
2012-03-07T00:00:00,LTCUSD,0.01,0,0.22090349112825033
