timestamp,asset_id,close,arithmetic_return,sigma_t
2004-06-11T00:00:00,XAUUSD,384.1,,
2004-06-14T00:00:00,XAUUSD,382.8,-0.0033845352772715735,
2004-06-15T00:00:00,XAUUSD,388.6,0.015151515151515181,
2004-06-16T00:00:00,XAUUSD,383.8,-0.012352032938754531,
2004-06-17T00:00:00,XAUUSD,387.6,0.0099009900990099306,
2004-06-18T00:00:00,XAUUSD,394.3,0.017285861713106265,
2004-06-21T00:00:00,XAUUSD,393.1,-0.0030433679939132351,
2004-06-22T00:00:00,XAUUSD,394.1,0.0025438819638768759,
2004-06-23T00:00:00,XAUUSD,395.6,0.0038061405734585128,
2004-06-24T00:00:00,XAUUSD,401.1,0.01390293225480283,
2004-06-25T00:00:00,XAUUSD,401.1,0,
2004-06-28T00:00:00,XAUUSD,399.8,-0.0032410870107205465,
2004-06-29T00:00:00,XAUUSD,391.3,-0.02126063031515758,
2004-06-30T00:00:00,XAUUSD,393.3,0.0051111679018655759,
2004-07-01T00:00:00,XAUUSD,395,0.0043224002034070392,
2004-07-02T00:00:00,XAUUSD,397.8,0.0070886075949367373,
2004-07-06T00:00:00,XAUUSD,392.1,-0.014328808446455477,
2004-07-07T00:00:00,XAUUSD,401.8,0.024738587095128762,
2004-07-08T00:00:00,XAUUSD,407.3,0.01368840219014435,
2004-07-09T00:00:00,XAUUSD,407.1,-0.00049103854652587432,
2004-07-12T00:00:00,XAUUSD,406.6,-0.0012281994595922377,
2004-07-13T00:00:00,XAUUSD,403.1,-0.008607968519429415,
2004-07-14T00:00:00,XAUUSD,404.8,0.0042173158025303609,
2004-07-15T00:00:00,XAUUSD,403.1,-0.0041996047430829754,
2004-07-16T00:00:00,XAUUSD,406.1,0.0074423220044653928,
2004-07-19T00:00:00,XAUUSD,404.8,-0.0032011819748830614,
2004-07-20T00:00:00,XAUUSD,400.8,-0.009881422924901186,
2004-07-21T00:00:00,XAUUSD,396.1,-0.011726546906187596,
2004-07-22T00:00:00,XAUUSD,393.3,-0.0070689219893966451,
2004-07-23T00:00:00,XAUUSD,389.3,-0.010170353419781336,
2004-07-26T00:00:00,XAUUSD,389.8,0.0012843565373747753,
